0.1,111,0.032
0.11,99,0.026
0.12,94,0.022
0.13,91,0.065
0.14,86,0.035
0.15,77,0.03
0.16,70,0.022
0.17,63,0.031
0.18,85,0.08
0.19,56,0.024
0.2,69,0.044
0.21,50,0.02
0.22,55,0.026
0.23,52,0.025
0.24,101,0.147
0.25,52,0.018
0.26,52,0.035
0.27,41,0.02
0.28,44,0.024
0.29,42,0.023
0.3,37,0.015
0.31,45,0.167
0.32,47,0.039
0.33,43,0.048
0.34,35,0.016
0.35,30,0.011
0.36,34,0.013
0.37,35,0.018
0.38,46,0.037
0.39,28,0.009
0.4,30,0.016
0.41,41,0.037
0.42,27,0.015
0.43,30,0.028
0.44,28,0.014
0.45,30,0.02
0.46,30,0.027
0.47,29,0.014
0.48,26,0.012
0.49,26,0.016
0.5,23,0.01
0.51,33,0.046
0.52,27,0.018
0.53,30,0.025
0.54,22,0.013
0.55,27,0.03
0.56,26,0.025
0.57,24,0.016
0.58,20,0.013
0.59,28,0.017
0.6,22,0.028
0.61,27,0.051
0.62,23,0.011
0.63,30,0.028
0.64,19,0.029
0.65,29,0.023
0.66,18,0.013
0.67,18,0.009
0.68,22,0.047
0.69,27,0.02
0.7,33,0.045
0.71,16,0.015
0.72,18,0.031
0.73,20,0.02
0.74,21,0.021
0.75,16,0.008
0.76,17,0.009
0.77,16,0.015
0.78,19,0.047
0.79,20,0.025
0.8,15,0.022
0.81,16,0.007
0.82,15,0.009
0.83,20,0.023
0.84,16,0.014
0.85,21,0.039
0.86,15,0.024
0.87,18,0.012
0.88,19,0.015
0.89,18,0.043
0.9,16,0.014
0.91,17,0.034
0.92,15,0.013
0.93,17,0.031
0.94,17,0.046
0.95,12,0.007
0.96,15,0.011
0.97,13,0.011
0.98,14,0.019
0.99,18,0.046
1,12,0.016
1.01,12,0.044
1.02,14,0.023
1.03,18,0.046
1.04,17,0.037
1.05,17,0.022
1.06,14,0.018
1.07,18,0.02
1.08,19,0.025
1.09,13,0.012
1.1,14,0.028
1.11,18,0.04
1.12,13,0.055
1.13,15,0.014
1.14,14,0.015
1.15,15,0.058
1.16,14,0.012
1.17,15,0.031
1.18,12,0.034
1.19,20,0.035
1.2,15,0.021
1.21,16,0.034
1.22,13,0.027
1.23,12,0.026
1.24,14,0.065
1.25,12,0.014
1.26,13,0.021
1.27,16,0.028
1.28,17,0.019
1.29,12,0.025
1.3,12,0.015
1.31,14,0.018
1.32,11,0.015
1.33,11,0.018
1.34,15,0.051
1.35,10,0.021
1.36,12,0.012
1.37,13,0.019
1.38,12,0.042
1.39,17,0.049
1.4,15,0.022
1.41,11,0.017
1.42,11,0.036
1.43,10,0.019
1.44,10,0.009
1.45,11,0.014
1.46,12,0.051
1.47,10,0.016
1.48,13,0.022
1.49,10,0.034
1.5,9,0.009
1.51,11,0.025
1.52,11,0.019
1.53,10,0.022
1.54,13,0.012
1.55,13,0.03
1.56,12,0.039
1.57,11,0.046
1.58,11,0.013
1.59,13,0.036
1.6,11,0.025
1.61,11,0.027
1.62,10,0.046
1.63,9,0.018
1.64,13,0.025
1.65,10,0.023
1.66,14,0.035
1.67,12,0.028
1.68,13,0.069
1.69,12,0.056
1.7,16,0.043
1.71,10,0.077
1.72,12,0.036
1.73,10,0.097
1.74,8,0.008
1.75,9,0.014
1.76,8,0.01
1.77,8,0.017
1.78,9,0.013
1.79,11,0.028
1.8,10,0.017
1.81,9,0.026
1.82,10,0.036
1.83,14,0.045
1.84,9,0.025
1.85,13,0.035
1.86,11,0.058
1.87,7,0.011
1.88,9,0.01
1.89,10,0.067
1.9,9,0.01
1.91,9,0.062
1.92,12,0.016
1.93,9,0.061
1.94,9,0.019
1.95,11,0.011
1.96,10,0.025
1.97,10,0.019
1.98,8,0.011
1.99,10,0.022
2,10,0.025
2.01,10,0.042
2.02,7,0.008
2.03,12,0.025
2.04,10,0.023
2.05,11,0.158
2.06,11,0.038
2.07,9,0.066
2.08,8,0.014
2.09,9,0.043
2.1,14,0.062
2.11,9,0.173
2.12,9,0.04
2.13,12,0.086
2.14,9,0.022
2.15,8,0.02
2.16,8,0.029
2.17,10,0.021
2.18,11,0.037
2.19,7,0.044
2.2,8,0.045
2.21,9,0.028
2.22,7,0.013
2.23,9,0.033
2.24,12,0.04
2.25,10,0.065
2.26,11,0.038
2.27,9,0.05
2.28,8,0.026
2.29,7,0.019
2.3,9,0.05
2.31,10,0.072
2.32,8,0.025
2.33,7,0.048
2.34,10,0.057
2.35,7,0.011
2.36,12,0.041
2.37,13,0.188
2.38,9,0.037
2.39,8,0.023
2.4,8,0.021
2.41,11,0.046
2.42,8,0.022
2.43,7,0.068
2.44,7,0.044
2.45,9,0.051
2.46,9,0.173
2.47,10,0.028
2.48,9,0.042
2.49,9,0.025
2.5,9,0.019
2.51,9,0.077
2.52,9,0.274
2.53,8,0.029
2.54,8,0.018
2.55,9,0.139
2.56,8,0.019
