0.1,139,0.074
0.11,114,0.039
0.12,107,0.037
0.13,118,0.083
0.14,72,0.025
0.15,82,0.049
0.16,103,0.057
0.17,62,0.023
0.18,61,0.019
0.19,62,0.023
0.2,77,0.064
0.21,54,0.014
0.22,58,0.041
0.23,50,0.037
0.24,54,0.019
0.25,52,0.022
0.26,49,0.03
0.27,54,0.029
0.28,40,0.011
0.29,48,0.025
0.3,43,0.017
0.31,40,0.02
0.32,48,0.023
0.33,32,0.011
0.34,35,0.018
0.35,58,0.049
0.36,33,0.017
0.37,29,0.012
0.38,46,0.039
0.39,42,0.026
0.4,36,0.026
0.41,38,0.03
0.42,31,0.025
0.43,29,0.013
0.44,33,0.02
0.45,31,0.027
0.46,32,0.015
0.47,31,0.031
0.48,25,0.011
0.49,27,0.019
0.5,26,0.016
0.51,23,0.027
0.52,29,0.019
0.53,27,0.016
0.54,29,0.038
0.55,22,0.012
0.56,24,0.012
0.57,21,0.015
0.58,22,0.012
0.59,27,0.038
0.6,24,0.033
0.61,28,0.021
0.62,21,0.026
0.63,23,0.014
0.64,18,0.008
0.65,19,0.011
0.66,26,0.022
0.67,20,0.03
0.68,20,0.016
0.69,17,0.007
0.7,24,0.017
0.71,20,0.013
0.72,17,0.016
0.73,25,0.078
0.74,18,0.037
0.75,19,0.021
0.76,17,0.013
0.77,20,0.027
0.78,17,0.019
0.79,21,0.023
0.8,25,0.027
0.81,18,0.018
0.82,16,0.015
0.83,13,0.012
0.84,19,0.027
0.85,16,0.017
0.86,15,0.03
0.87,16,0.015
0.88,19,0.043
0.89,17,0.018
0.9,16,0.02
0.91,19,0.029
0.92,17,0.021
0.93,14,0.011
0.94,15,0.013
0.95,16,0.017
0.96,17,0.011
0.97,16,0.023
0.98,15,0.016
0.99,16,0.038
1,16,0.022
1.01,17,0.036
1.02,13,0.01
1.03,21,0.034
1.04,16,0.072
1.05,14,0.02
1.06,13,0.012
1.07,17,0.018
1.08,15,0.015
1.09,14,0.023
1.1,14,0.028
1.11,14,0.055
1.12,13,0.012
1.13,15,0.012
1.14,13,0.021
1.15,12,0.012
1.16,17,0.029
1.17,16,0.025
1.18,12,0.01
1.19,11,0.011
1.2,14,0.04
1.21,21,0.132
1.22,16,0.037
1.23,18,0.062
1.24,14,0.019
1.25,15,0.022
1.26,12,0.015
1.27,15,0.017
1.28,12,0.042
1.29,13,0.026
1.3,11,0.011
1.31,11,0.029
1.32,11,0.025
