0.1,137,0.395,8.80538,9.71451
0.11,118,0.367,8.48375,9.54181
0.12,111,1.52,9.96547,9.26179
0.13,99,0.226,9.05198,8.36135
0.14,94,0.338,9.1098,9.31918
0.15,81,0.148,8.67918,7.82634
0.16,101,0.141,10.3495,12.0101
0.17,76,0.148,9.41467,8.57909
0.18,80,0.348,10.1988,9.92481
0.19,76,0.357,10.473,10.9281
0.2,87,0.164,10.4009,11.9598
0.21,59,0.103,8.95376,7.76547
0.22,48,0.079,7.7858,6.61759
0.23,54,0.114,9.34757,8.22103
0.24,55,0.141,9.26214,9.09181
0.25,58,0.162,10.6133,10.0475
0.26,49,0.064,9.11689,8.68622
0.27,47,0.109,8.89244,8.36412
0.28,52,0.111,8.70423,10.0944
0.29,45,0.467,9.58909,8.45828
0.3,44,0.13,9.0145,9.10706
0.31,41,0.095,9.18588,8.7294
0.32,40,0.085,9.38252,8.08119
0.33,36,0.091,8.84561,8.48377
0.34,45,0.114,9.29135,9.9036
0.35,40,0.298,9.82201,10.055
0.36,57,0.191,10.9031,14.4918
0.37,36,0.048,8.67436,8.96367
0.38,35,0.075,8.03522,9.29543
0.39,40,0.093,10.8436,10.9161
0.4,36,0.115,7.94395,9.47986
0.41,33,0.069,11.0557,9.15446
0.42,33,0.128,8.70237,8.46906
0.43,29,0.051,8.37666,7.68901
0.44,40,0.101,11.3396,12.3523
0.45,41,0.217,10.6993,12.3343
0.46,29,0.077,8.75308,8.55191
0.47,27,0.078,8.09054,8.98563
0.48,25,0.13,7.8912,7.42867
0.49,28,0.134,9.29825,9.5763
0.5,34,0.206,9.43808,11.8265
0.51,26,0.113,9.11055,8.74393
0.52,27,0.07,8.48044,9.72513
0.53,33,0.16,8.65747,12.3494
0.54,26,0.122,9.38059,9.82791
0.55,32,0.144,9.54371,11.5693
0.56,23,0.054,8.10255,8.30871
0.57,24,0.11,8.79487,8.78016
0.58,23,0.054,8.9166,9.1751
0.59,23,0.042,7.97391,9.0096
0.6,30,0.472,10.4566,11.5748
0.61,25,0.198,9.79208,9.83215
0.62,19,0.037,8.24058,8.21919
0.63,22,0.119,9.86324,10.2291
0.64,31,0.095,9.50708,13.6824
0.65,19,0.063,8.19588,8.54121
0.66,24,0.129,10.0378,10.9747
0.67,18,0.055,7.54296,8.31405
0.68,23,0.097,9.83729,9.73775
0.69,21,0.173,8.33182,8.93839
0.7,30,0.165,11.0132,14.3413
0.71,17,0.048,7.18373,8.18358
0.72,21,0.052,9.58138,9.65429
0.73,18,0.037,8.06784,8.59644
0.74,19,0.085,9.63316,9.23387
0.75,21,0.098,10.1624,11.2145
0.76,18,0.062,8.73797,9.36838
0.77,24,0.078,10.3543,11.7256
0.78,16,0.06,7.78115,9.29883
0.79,17,0.042,7.78589,8.20208
0.8,21,0.1,9.99322,11.3913
0.81,17,0.061,9.28112,9.3737
0.82,29,0.097,11.6765,15.9195
0.83,21,0.084,8.97188,12.0388
0.84,18,0.109,8.86025,10.7934
0.85,18,0.209,8.75571,9.6915
0.86,14,0.03,7.55089,7.11347
0.87,14,0.044,8.38193,8.29092
0.88,17,0.05,8.70144,9.2901
0.89,19,0.056,9.23706,11.3932
0.9,13,0.026,7.84169,7.35286
0.91,20,0.055,9.60175,11.5709
0.92,17,0.103,9.49242,9.52287
0.93,19,0.144,9.01574,12.043
0.94,15,0.058,8.34556,9.52668
0.95,12,0.045,7.47544,7.4728
0.96,14,0.038,7.42147,9.03073
0.97,15,0.092,8.28915,8.91563
0.98,12,0.084,7.30541,7.59292
0.99,15,0.058,8.13863,9.63083
1,18,0.109,7.85906,11.1803
1.01,12,0.038,7.19015,7.31988
1.02,18,0.066,9.44115,12.2752
1.03,17,0.054,8.57594,11.586
1.04,15,0.072,10.3357,9.23108
1.05,13,0.036,7.95187,7.99358
1.06,13,0.062,6.89261,9.10742
1.07,16,0.129,10.4594,11.4386
1.08,15,0.065,8.972,11.9476
1.09,11,0.048,7.74867,7.31409
1.1,11,0.036,7.95599,7.768
1.11,12,0.025,8.55154,7.3391
1.12,18,0.07,9.32587,14.6466
1.13,11,0.055,7.57492,7.07711
1.14,13,0.029,8.79496,8.12764
1.15,12,0.036,8.89193,8.38061
